	cell_id	n_peaks	total_peaks
Cell_2327	Cell_2327	505	505
Cell_2328	Cell_2328	453	453
Cell_2329	Cell_2329	470	470
Cell_2330	Cell_2330	479	479
Cell_2331	Cell_2331	456	456
Cell_2332	Cell_2332	500	500
Cell_2333	Cell_2333	517	517
Cell_2334	Cell_2334	476	476
Cell_2335	Cell_2335	464	464
Cell_2336	Cell_2336	468	468
Cell_2337	Cell_2337	503	503
Cell_2338	Cell_2338	451	451
Cell_2339	Cell_2339	460	460
Cell_2340	Cell_2340	488	488
Cell_2341	Cell_2341	459	459
Cell_2342	Cell_2342	462	462
Cell_2343	Cell_2343	489	489
Cell_2344	Cell_2344	449	449
Cell_2345	Cell_2345	500	500
Cell_2346	Cell_2346	454	454
Cell_2347	Cell_2347	484	484
Cell_2348	Cell_2348	448	448
Cell_2349	Cell_2349	470	470
Cell_2350	Cell_2350	449	449
Cell_2351	Cell_2351	457	457
Cell_2352	Cell_2352	448	448
Cell_2353	Cell_2353	475	475
Cell_2354	Cell_2354	487	487
Cell_2355	Cell_2355	481	481
Cell_2356	Cell_2356	475	475
Cell_2357	Cell_2357	480	480
Cell_2358	Cell_2358	486	486
Cell_2359	Cell_2359	472	472
Cell_2360	Cell_2360	443	443
Cell_2361	Cell_2361	454	454
Cell_2362	Cell_2362	475	475
Cell_2363	Cell_2363	471	471
Cell_2364	Cell_2364	485	485
Cell_2365	Cell_2365	490	490
Cell_2366	Cell_2366	474	474
Cell_2367	Cell_2367	438	438
Cell_2368	Cell_2368	464	464
Cell_2369	Cell_2369	470	470
Cell_2370	Cell_2370	463	463
Cell_2371	Cell_2371	474	474
Cell_2372	Cell_2372	453	453
Cell_2373	Cell_2373	458	458
Cell_2374	Cell_2374	479	479
Cell_2375	Cell_2375	443	443
Cell_2376	Cell_2376	452	452
Cell_2377	Cell_2377	484	484
Cell_2378	Cell_2378	466	466
Cell_2379	Cell_2379	472	472
Cell_2380	Cell_2380	443	443
Cell_2381	Cell_2381	483	483
Cell_2382	Cell_2382	478	478
Cell_2383	Cell_2383	467	467
Cell_2384	Cell_2384	510	510
Cell_2385	Cell_2385	451	451
Cell_2386	Cell_2386	479	479
Cell_2387	Cell_2387	454	454
Cell_2388	Cell_2388	466	466
Cell_2389	Cell_2389	474	474
Cell_2390	Cell_2390	419	419
Cell_2391	Cell_2391	495	495
Cell_2392	Cell_2392	497	497
Cell_2393	Cell_2393	493	493
Cell_2394	Cell_2394	469	469
Cell_2395	Cell_2395	472	472
Cell_2396	Cell_2396	464	464
Cell_2397	Cell_2397	448	448
Cell_2398	Cell_2398	471	471
Cell_2399	Cell_2399	455	455
Cell_2400	Cell_2400	465	465
Cell_2401	Cell_2401	455	455
Cell_2402	Cell_2402	483	483
Cell_2403	Cell_2403	468	468
Cell_2404	Cell_2404	458	458
Cell_2405	Cell_2405	437	437
Cell_2406	Cell_2406	452	452
Cell_2407	Cell_2407	454	454
Cell_2408	Cell_2408	463	463
Cell_2409	Cell_2409	482	482
Cell_2410	Cell_2410	421	421
Cell_2411	Cell_2411	484	484
Cell_2412	Cell_2412	470	470
Cell_2413	Cell_2413	481	481
Cell_2414	Cell_2414	450	450
Cell_2415	Cell_2415	457	457
Cell_2416	Cell_2416	463	463
Cell_2417	Cell_2417	467	467
Cell_2418	Cell_2418	488	488
Cell_2419	Cell_2419	464	464
Cell_2420	Cell_2420	447	447
Cell_2421	Cell_2421	466	466
Cell_2422	Cell_2422	446	446
Cell_2423	Cell_2423	442	442
Cell_2424	Cell_2424	457	457
Cell_2425	Cell_2425	439	439
Cell_2426	Cell_2426	440	440
Cell_2427	Cell_2427	435	435
Cell_2428	Cell_2428	462	462
Cell_2429	Cell_2429	473	473
Cell_2430	Cell_2430	472	472
Cell_2431	Cell_2431	504	504
Cell_2432	Cell_2432	485	485
Cell_2433	Cell_2433	477	477
Cell_2434	Cell_2434	439	439
Cell_2435	Cell_2435	463	463
Cell_2436	Cell_2436	483	483
Cell_2437	Cell_2437	452	452
Cell_2438	Cell_2438	449	449
Cell_2439	Cell_2439	446	446
Cell_2440	Cell_2440	500	500
Cell_2441	Cell_2441	468	468
Cell_2442	Cell_2442	434	434
Cell_2443	Cell_2443	473	473
Cell_2444	Cell_2444	461	461
Cell_2445	Cell_2445	472	472
Cell_2446	Cell_2446	479	479
Cell_2447	Cell_2447	502	502
Cell_2448	Cell_2448	478	478
Cell_2449	Cell_2449	471	471
Cell_2450	Cell_2450	479	479
Cell_2451	Cell_2451	481	481
Cell_2452	Cell_2452	470	470
Cell_2453	Cell_2453	478	478
Cell_2454	Cell_2454	460	460
Cell_2455	Cell_2455	448	448
Cell_2456	Cell_2456	457	457
Cell_2457	Cell_2457	479	479
Cell_2458	Cell_2458	451	451
Cell_2459	Cell_2459	466	466
Cell_2460	Cell_2460	461	461
Cell_2461	Cell_2461	471	471
Cell_2462	Cell_2462	515	515
Cell_2463	Cell_2463	474	474
Cell_2464	Cell_2464	469	469
Cell_2465	Cell_2465	453	453
Cell_2466	Cell_2466	463	463
Cell_2467	Cell_2467	469	469
Cell_2468	Cell_2468	449	449
Cell_2469	Cell_2469	476	476
Cell_2470	Cell_2470	501	501
Cell_2471	Cell_2471	462	462
Cell_2472	Cell_2472	465	465
Cell_2473	Cell_2473	462	462
Cell_2474	Cell_2474	494	494
Cell_2475	Cell_2475	475	475
Cell_2476	Cell_2476	469	469
Cell_2477	Cell_2477	453	453
Cell_2478	Cell_2478	492	492
Cell_2479	Cell_2479	480	480
Cell_2480	Cell_2480	508	508
Cell_2481	Cell_2481	497	497
Cell_2482	Cell_2482	460	460
Cell_2483	Cell_2483	485	485
Cell_2484	Cell_2484	441	441
Cell_2485	Cell_2485	486	486
Cell_2486	Cell_2486	496	496
Cell_2487	Cell_2487	468	468
Cell_2488	Cell_2488	474	474
Cell_2489	Cell_2489	463	463
Cell_2490	Cell_2490	484	484
Cell_2491	Cell_2491	453	453
Cell_2492	Cell_2492	462	462
Cell_2493	Cell_2493	418	418
Cell_2494	Cell_2494	494	494
Cell_2495	Cell_2495	461	461
Cell_2496	Cell_2496	450	450
Cell_2497	Cell_2497	452	452
Cell_2498	Cell_2498	487	487
Cell_2499	Cell_2499	453	453
Cell_2500	Cell_2500	494	494
Cell_2501	Cell_2501	446	446
Cell_2502	Cell_2502	445	445
Cell_2503	Cell_2503	483	483
Cell_2504	Cell_2504	456	456
Cell_2505	Cell_2505	466	466
Cell_2506	Cell_2506	452	452
Cell_2507	Cell_2507	457	457
Cell_2508	Cell_2508	440	440
Cell_2509	Cell_2509	450	450
Cell_2510	Cell_2510	464	464
Cell_2511	Cell_2511	456	456
Cell_2512	Cell_2512	466	466
Cell_2513	Cell_2513	502	502
Cell_2514	Cell_2514	473	473
Cell_2515	Cell_2515	473	473
Cell_2516	Cell_2516	458	458
Cell_2517	Cell_2517	458	458
Cell_2518	Cell_2518	465	465
Cell_2519	Cell_2519	486	486
Cell_2520	Cell_2520	486	486
Cell_2521	Cell_2521	456	456
Cell_2522	Cell_2522	424	424
Cell_2523	Cell_2523	470	470
Cell_2524	Cell_2524	464	464
Cell_2525	Cell_2525	449	449
Cell_2526	Cell_2526	445	445
Cell_2527	Cell_2527	439	439
Cell_2528	Cell_2528	463	463
Cell_2529	Cell_2529	454	454
Cell_2530	Cell_2530	474	474
Cell_2531	Cell_2531	449	449
Cell_2532	Cell_2532	447	447
Cell_2533	Cell_2533	457	457
Cell_2534	Cell_2534	441	441
Cell_2535	Cell_2535	466	466
Cell_2536	Cell_2536	500	500
Cell_2537	Cell_2537	467	467
Cell_2538	Cell_2538	478	478
Cell_2539	Cell_2539	457	457
Cell_2540	Cell_2540	484	484
Cell_2541	Cell_2541	483	483
Cell_2542	Cell_2542	496	496
Cell_2543	Cell_2543	475	475
Cell_2544	Cell_2544	471	471
Cell_2545	Cell_2545	468	468
Cell_2546	Cell_2546	458	458
Cell_2547	Cell_2547	475	475
Cell_2548	Cell_2548	452	452
Cell_2549	Cell_2549	439	439
Cell_2550	Cell_2550	448	448
Cell_2551	Cell_2551	439	439
Cell_2552	Cell_2552	481	481
Cell_2553	Cell_2553	464	464
Cell_2554	Cell_2554	477	477
Cell_2555	Cell_2555	426	426
Cell_2556	Cell_2556	439	439
Cell_2557	Cell_2557	458	458
Cell_2558	Cell_2558	450	450
Cell_2559	Cell_2559	459	459
Cell_2560	Cell_2560	444	444
Cell_2561	Cell_2561	461	461
Cell_2562	Cell_2562	455	455
Cell_2563	Cell_2563	449	449
Cell_2564	Cell_2564	476	476
Cell_2565	Cell_2565	480	480
Cell_2566	Cell_2566	458	458
Cell_2567	Cell_2567	480	480
Cell_2568	Cell_2568	463	463
Cell_2569	Cell_2569	460	460
Cell_2570	Cell_2570	495	495
Cell_2571	Cell_2571	486	486
Cell_2572	Cell_2572	457	457
Cell_2573	Cell_2573	453	453
Cell_2574	Cell_2574	442	442
Cell_2575	Cell_2575	454	454
Cell_2576	Cell_2576	470	470
Cell_2577	Cell_2577	449	449
Cell_2578	Cell_2578	503	503
Cell_2579	Cell_2579	469	469
Cell_2580	Cell_2580	457	457
Cell_2581	Cell_2581	497	497
Cell_2582	Cell_2582	446	446
Cell_2583	Cell_2583	488	488
Cell_2584	Cell_2584	481	481
Cell_2585	Cell_2585	464	464
Cell_2586	Cell_2586	479	479
Cell_2587	Cell_2587	457	457
Cell_2588	Cell_2588	494	494
Cell_2589	Cell_2589	474	474
Cell_2590	Cell_2590	449	449
Cell_2591	Cell_2591	474	474
Cell_2592	Cell_2592	466	466
Cell_2593	Cell_2593	445	445
Cell_2594	Cell_2594	503	503
Cell_2595	Cell_2595	492	492
Cell_2596	Cell_2596	469	469
Cell_2597	Cell_2597	476	476
Cell_2598	Cell_2598	457	457
Cell_2599	Cell_2599	462	462
Cell_2600	Cell_2600	467	467
Cell_2601	Cell_2601	455	455
Cell_2602	Cell_2602	482	482
Cell_2603	Cell_2603	470	470
Cell_2604	Cell_2604	469	469
Cell_2605	Cell_2605	491	491
Cell_2606	Cell_2606	453	453
Cell_2607	Cell_2607	472	472
Cell_2608	Cell_2608	505	505
Cell_2609	Cell_2609	464	464
Cell_2610	Cell_2610	458	458
Cell_2611	Cell_2611	436	436
Cell_2612	Cell_2612	438	438
Cell_2613	Cell_2613	459	459
Cell_2614	Cell_2614	455	455
Cell_2615	Cell_2615	453	453
Cell_2616	Cell_2616	458	458
Cell_2617	Cell_2617	419	419
Cell_2618	Cell_2618	441	441
Cell_2619	Cell_2619	459	459
Cell_2620	Cell_2620	452	452
Cell_2621	Cell_2621	451	451
Cell_2622	Cell_2622	476	476
Cell_2623	Cell_2623	459	459
Cell_2624	Cell_2624	485	485
Cell_2625	Cell_2625	470	470
Cell_2626	Cell_2626	492	492
Cell_2627	Cell_2627	461	461
Cell_2628	Cell_2628	463	463
Cell_2629	Cell_2629	482	482
Cell_2630	Cell_2630	475	475
Cell_2631	Cell_2631	474	474
Cell_2632	Cell_2632	425	425
Cell_2633	Cell_2633	471	471
Cell_2634	Cell_2634	456	456
Cell_2635	Cell_2635	473	473
Cell_2636	Cell_2636	494	494
Cell_2637	Cell_2637	499	499
Cell_2638	Cell_2638	447	447
Cell_2639	Cell_2639	472	472
Cell_2640	Cell_2640	466	466
Cell_2641	Cell_2641	465	465
Cell_2642	Cell_2642	456	456
Cell_2643	Cell_2643	456	456
Cell_2644	Cell_2644	454	454
Cell_2645	Cell_2645	461	461
Cell_2646	Cell_2646	458	458
Cell_2647	Cell_2647	489	489
Cell_2648	Cell_2648	470	470
Cell_2649	Cell_2649	436	436
Cell_2650	Cell_2650	464	464
Cell_2651	Cell_2651	476	476
Cell_2652	Cell_2652	454	454
Cell_2653	Cell_2653	463	463
Cell_2654	Cell_2654	438	438
Cell_2655	Cell_2655	505	505
Cell_2656	Cell_2656	470	470
Cell_2657	Cell_2657	467	467
Cell_2658	Cell_2658	476	476
Cell_2659	Cell_2659	457	457
Cell_2660	Cell_2660	469	469
Cell_2661	Cell_2661	473	473
Cell_2662	Cell_2662	457	457
Cell_2663	Cell_2663	468	468
Cell_2664	Cell_2664	507	507
Cell_2665	Cell_2665	467	467
Cell_2666	Cell_2666	495	495
Cell_2667	Cell_2667	464	464
Cell_2668	Cell_2668	489	489
Cell_2669	Cell_2669	472	472
Cell_2670	Cell_2670	475	475
Cell_2671	Cell_2671	482	482
Cell_2672	Cell_2672	482	482
Cell_2673	Cell_2673	453	453
Cell_2674	Cell_2674	434	434
Cell_2675	Cell_2675	412	412
Cell_2676	Cell_2676	450	450
Cell_2677	Cell_2677	467	467
Cell_2678	Cell_2678	465	465
Cell_2679	Cell_2679	438	438
Cell_2680	Cell_2680	496	496
Cell_2681	Cell_2681	459	459
Cell_2682	Cell_2682	482	482
Cell_2683	Cell_2683	440	440
Cell_2684	Cell_2684	468	468
Cell_2685	Cell_2685	492	492
Cell_2686	Cell_2686	459	459
Cell_2687	Cell_2687	452	452
Cell_2688	Cell_2688	459	459
Cell_2689	Cell_2689	467	467
Cell_2690	Cell_2690	460	460
Cell_2691	Cell_2691	497	497
Cell_2692	Cell_2692	460	460
Cell_2693	Cell_2693	473	473
Cell_2694	Cell_2694	450	450
Cell_2695	Cell_2695	450	450
Cell_2696	Cell_2696	471	471
Cell_2697	Cell_2697	451	451
Cell_2698	Cell_2698	469	469
Cell_2699	Cell_2699	481	481
Cell_2700	Cell_2700	504	504
Cell_2701	Cell_2701	452	452
Cell_2702	Cell_2702	459	459
Cell_2703	Cell_2703	461	461
Cell_2704	Cell_2704	471	471
Cell_2705	Cell_2705	453	453
Cell_2706	Cell_2706	478	478
Cell_2707	Cell_2707	478	478
Cell_2708	Cell_2708	477	477
Cell_2709	Cell_2709	458	458
Cell_2710	Cell_2710	447	447
Cell_2711	Cell_2711	480	480
Cell_2712	Cell_2712	492	492
Cell_2713	Cell_2713	453	453
Cell_2714	Cell_2714	485	485
Cell_2715	Cell_2715	482	482
Cell_2716	Cell_2716	498	498
Cell_2717	Cell_2717	452	452
Cell_2718	Cell_2718	436	436
Cell_2719	Cell_2719	434	434
Cell_2720	Cell_2720	477	477
Cell_2721	Cell_2721	452	452
Cell_2722	Cell_2722	462	462
Cell_2723	Cell_2723	467	467
Cell_2724	Cell_2724	443	443
Cell_2725	Cell_2725	473	473
Cell_2726	Cell_2726	480	480
Cell_2727	Cell_2727	471	471
Cell_2728	Cell_2728	435	435
Cell_2729	Cell_2729	451	451
Cell_2730	Cell_2730	451	451
Cell_2731	Cell_2731	467	467
Cell_2732	Cell_2732	461	461
Cell_2733	Cell_2733	480	480
Cell_2734	Cell_2734	461	461
Cell_2735	Cell_2735	484	484
Cell_2736	Cell_2736	465	465
Cell_2737	Cell_2737	479	479
Cell_2738	Cell_2738	445	445
Cell_2739	Cell_2739	473	473
Cell_2740	Cell_2740	424	424
Cell_2741	Cell_2741	491	491
Cell_2742	Cell_2742	433	433
Cell_2743	Cell_2743	460	460
Cell_2744	Cell_2744	457	457
Cell_2745	Cell_2745	486	486
Cell_2746	Cell_2746	477	477
Cell_2747	Cell_2747	448	448
Cell_2748	Cell_2748	473	473
Cell_2749	Cell_2749	466	466
Cell_2750	Cell_2750	454	454
Cell_2751	Cell_2751	480	480
Cell_2752	Cell_2752	461	461
Cell_2753	Cell_2753	483	483
Cell_2754	Cell_2754	422	422
Cell_2755	Cell_2755	454	454
Cell_2756	Cell_2756	455	455
Cell_2757	Cell_2757	473	473
Cell_2758	Cell_2758	488	488
Cell_2759	Cell_2759	460	460
Cell_2760	Cell_2760	477	477
Cell_2761	Cell_2761	496	496
Cell_2762	Cell_2762	467	467
Cell_2763	Cell_2763	461	461
Cell_2764	Cell_2764	487	487
Cell_2765	Cell_2765	475	475
Cell_2766	Cell_2766	471	471
Cell_2767	Cell_2767	472	472
Cell_2768	Cell_2768	442	442
Cell_2769	Cell_2769	463	463
Cell_2770	Cell_2770	450	450
Cell_2771	Cell_2771	472	472
Cell_2772	Cell_2772	456	456
Cell_2773	Cell_2773	507	507
Cell_2774	Cell_2774	493	493
Cell_2775	Cell_2775	484	484
Cell_2776	Cell_2776	484	484
Cell_2777	Cell_2777	463	463
Cell_2778	Cell_2778	496	496
Cell_2779	Cell_2779	467	467
Cell_2780	Cell_2780	453	453
Cell_2781	Cell_2781	451	451
Cell_2782	Cell_2782	440	440
Cell_2783	Cell_2783	465	465
Cell_2784	Cell_2784	457	457
Cell_2785	Cell_2785	477	477
Cell_2786	Cell_2786	466	466
Cell_2787	Cell_2787	455	455
Cell_2788	Cell_2788	498	498
Cell_2789	Cell_2789	464	464
Cell_2790	Cell_2790	504	504
Cell_2791	Cell_2791	504	504
Cell_2792	Cell_2792	443	443
Cell_2793	Cell_2793	454	454
Cell_2794	Cell_2794	467	467
Cell_2795	Cell_2795	448	448
Cell_2796	Cell_2796	476	476
Cell_2797	Cell_2797	502	502
Cell_2798	Cell_2798	461	461
Cell_2799	Cell_2799	445	445
Cell_2800	Cell_2800	465	465
Cell_2801	Cell_2801	469	469
Cell_2802	Cell_2802	472	472
Cell_2803	Cell_2803	468	468
Cell_2804	Cell_2804	461	461
Cell_2805	Cell_2805	476	476
Cell_2806	Cell_2806	478	478
Cell_2807	Cell_2807	481	481
Cell_2808	Cell_2808	429	429
Cell_2809	Cell_2809	475	475
Cell_2810	Cell_2810	460	460
Cell_2811	Cell_2811	474	474
Cell_2812	Cell_2812	473	473
Cell_2813	Cell_2813	463	463
Cell_2814	Cell_2814	476	476
Cell_2815	Cell_2815	435	435
Cell_2816	Cell_2816	454	454
Cell_2817	Cell_2817	438	438
Cell_2818	Cell_2818	497	497
Cell_2819	Cell_2819	464	464
Cell_2820	Cell_2820	458	458
Cell_2821	Cell_2821	440	440
Cell_2822	Cell_2822	468	468
Cell_2823	Cell_2823	469	469
Cell_2824	Cell_2824	477	477
Cell_2825	Cell_2825	483	483
Cell_2826	Cell_2826	467	467
Cell_2827	Cell_2827	475	475
Cell_2828	Cell_2828	495	495
Cell_2829	Cell_2829	482	482
Cell_2830	Cell_2830	459	459
Cell_2831	Cell_2831	473	473
Cell_2832	Cell_2832	462	462
Cell_2833	Cell_2833	474	474
Cell_2834	Cell_2834	478	478
Cell_2835	Cell_2835	469	469
Cell_2836	Cell_2836	473	473
Cell_2837	Cell_2837	464	464
Cell_2838	Cell_2838	482	482
Cell_2839	Cell_2839	445	445
Cell_2840	Cell_2840	480	480
Cell_2841	Cell_2841	475	475
Cell_2842	Cell_2842	465	465
Cell_2843	Cell_2843	473	473
Cell_2844	Cell_2844	448	448
Cell_2845	Cell_2845	502	502
Cell_2846	Cell_2846	476	476
Cell_2847	Cell_2847	451	451
Cell_2848	Cell_2848	471	471
Cell_2849	Cell_2849	458	458
Cell_2850	Cell_2850	488	488
Cell_2851	Cell_2851	474	474
Cell_2852	Cell_2852	468	468
Cell_2853	Cell_2853	490	490
Cell_2854	Cell_2854	490	490
Cell_2855	Cell_2855	455	455
Cell_2856	Cell_2856	479	479
Cell_2857	Cell_2857	473	473
Cell_2858	Cell_2858	440	440
Cell_2859	Cell_2859	448	448
Cell_2860	Cell_2860	468	468
Cell_2861	Cell_2861	479	479
Cell_2862	Cell_2862	457	457
Cell_2863	Cell_2863	455	455
Cell_2864	Cell_2864	453	453
Cell_2865	Cell_2865	488	488
Cell_2866	Cell_2866	433	433
Cell_2867	Cell_2867	451	451
Cell_2868	Cell_2868	476	476
Cell_2869	Cell_2869	479	479
Cell_2870	Cell_2870	447	447
Cell_2871	Cell_2871	490	490
Cell_2872	Cell_2872	461	461
Cell_2873	Cell_2873	447	447
Cell_2874	Cell_2874	471	471
Cell_2875	Cell_2875	420	420
Cell_2876	Cell_2876	450	450
Cell_2877	Cell_2877	495	495
Cell_2878	Cell_2878	454	454
Cell_2879	Cell_2879	488	488
Cell_2880	Cell_2880	465	465
Cell_2881	Cell_2881	469	469
Cell_2882	Cell_2882	455	455
Cell_2883	Cell_2883	445	445
Cell_2884	Cell_2884	490	490
Cell_2885	Cell_2885	456	456
Cell_2886	Cell_2886	486	486
Cell_2887	Cell_2887	437	437
Cell_2888	Cell_2888	481	481
Cell_2889	Cell_2889	479	479
Cell_2890	Cell_2890	497	497
Cell_2891	Cell_2891	489	489
Cell_2892	Cell_2892	495	495
Cell_2893	Cell_2893	478	478
Cell_2894	Cell_2894	510	510
Cell_2895	Cell_2895	448	448
Cell_2896	Cell_2896	487	487
Cell_2897	Cell_2897	461	461
Cell_2898	Cell_2898	451	451
Cell_2899	Cell_2899	464	464
Cell_2900	Cell_2900	459	459
Cell_2901	Cell_2901	467	467
Cell_2902	Cell_2902	467	467
Cell_2903	Cell_2903	478	478
Cell_2904	Cell_2904	460	460
Cell_2905	Cell_2905	489	489
Cell_2906	Cell_2906	457	457
Cell_2907	Cell_2907	458	458
Cell_2908	Cell_2908	464	464
Cell_2909	Cell_2909	445	445
Cell_2910	Cell_2910	472	472
Cell_2911	Cell_2911	464	464
Cell_2912	Cell_2912	489	489
Cell_2913	Cell_2913	470	470
Cell_2914	Cell_2914	498	498
Cell_2915	Cell_2915	441	441
Cell_2916	Cell_2916	498	498
Cell_2917	Cell_2917	450	450
Cell_2918	Cell_2918	490	490
Cell_2919	Cell_2919	468	468
Cell_2920	Cell_2920	508	508
Cell_2921	Cell_2921	436	436
Cell_2922	Cell_2922	465	465
Cell_2923	Cell_2923	508	508
Cell_2924	Cell_2924	466	466
Cell_2925	Cell_2925	481	481
Cell_2926	Cell_2926	441	441
Cell_2927	Cell_2927	474	474
Cell_2928	Cell_2928	485	485
Cell_2929	Cell_2929	458	458
Cell_2930	Cell_2930	455	455
Cell_2931	Cell_2931	452	452
Cell_2932	Cell_2932	475	475
Cell_2933	Cell_2933	471	471
Cell_2934	Cell_2934	444	444
Cell_2935	Cell_2935	498	498
Cell_2936	Cell_2936	451	451
Cell_2937	Cell_2937	468	468
Cell_2938	Cell_2938	435	435
Cell_2939	Cell_2939	461	461
Cell_2940	Cell_2940	510	510
Cell_2941	Cell_2941	457	457
Cell_2942	Cell_2942	511	511
Cell_2943	Cell_2943	489	489
Cell_2944	Cell_2944	467	467
Cell_2945	Cell_2945	437	437
Cell_2946	Cell_2946	486	486
Cell_2947	Cell_2947	510	510
Cell_2948	Cell_2948	480	480
Cell_2949	Cell_2949	462	462
Cell_2950	Cell_2950	493	493
Cell_2951	Cell_2951	442	442
Cell_2952	Cell_2952	463	463
Cell_2953	Cell_2953	488	488
Cell_2954	Cell_2954	482	482
Cell_2955	Cell_2955	460	460
Cell_2956	Cell_2956	482	482
Cell_2957	Cell_2957	455	455
Cell_2958	Cell_2958	461	461
Cell_2959	Cell_2959	494	494
Cell_2960	Cell_2960	484	484
Cell_2961	Cell_2961	494	494
Cell_2962	Cell_2962	485	485
Cell_2963	Cell_2963	479	479
Cell_2964	Cell_2964	476	476
Cell_2965	Cell_2965	455	455
Cell_2966	Cell_2966	462	462
Cell_2967	Cell_2967	456	456
Cell_2968	Cell_2968	468	468
Cell_2969	Cell_2969	426	426
Cell_2970	Cell_2970	475	475
Cell_2971	Cell_2971	470	470
Cell_2972	Cell_2972	491	491
Cell_2973	Cell_2973	454	454
Cell_2974	Cell_2974	457	457
Cell_2975	Cell_2975	497	497
Cell_2976	Cell_2976	470	470
Cell_2977	Cell_2977	433	433
Cell_2978	Cell_2978	480	480
Cell_2979	Cell_2979	461	461
Cell_2980	Cell_2980	472	472
Cell_2981	Cell_2981	478	478
Cell_2982	Cell_2982	447	447
Cell_2983	Cell_2983	447	447
Cell_2984	Cell_2984	466	466
Cell_2985	Cell_2985	457	457
Cell_2986	Cell_2986	468	468
Cell_2987	Cell_2987	458	458
Cell_2988	Cell_2988	463	463
Cell_2989	Cell_2989	418	418
Cell_2990	Cell_2990	454	454
Cell_2991	Cell_2991	446	446
Cell_2992	Cell_2992	469	469
Cell_2993	Cell_2993	474	474
Cell_2994	Cell_2994	460	460
Cell_2995	Cell_2995	440	440
Cell_2996	Cell_2996	458	458
Cell_2997	Cell_2997	468	468
Cell_2998	Cell_2998	469	469
Cell_2999	Cell_2999	465	465
Cell_3000	Cell_3000	453	453
Cell_3001	Cell_3001	483	483
Cell_3002	Cell_3002	483	483
Cell_3003	Cell_3003	481	481
Cell_3004	Cell_3004	500	500
Cell_3005	Cell_3005	496	496
Cell_3006	Cell_3006	458	458
Cell_3007	Cell_3007	473	473
Cell_3008	Cell_3008	472	472
Cell_3009	Cell_3009	467	467
Cell_3010	Cell_3010	476	476
Cell_3011	Cell_3011	477	477
Cell_3012	Cell_3012	493	493
Cell_3013	Cell_3013	477	477
Cell_3014	Cell_3014	445	445
Cell_3015	Cell_3015	447	447
Cell_3016	Cell_3016	432	432
Cell_3017	Cell_3017	457	457
Cell_3018	Cell_3018	465	465
Cell_3019	Cell_3019	476	476
Cell_3020	Cell_3020	470	470
Cell_3021	Cell_3021	463	463
Cell_3022	Cell_3022	483	483
Cell_3023	Cell_3023	448	448
Cell_3024	Cell_3024	466	466
Cell_3025	Cell_3025	460	460
Cell_3026	Cell_3026	504	504
Cell_3027	Cell_3027	445	445
Cell_3028	Cell_3028	492	492
Cell_3029	Cell_3029	464	464
Cell_3030	Cell_3030	462	462
Cell_3031	Cell_3031	454	454
Cell_3032	Cell_3032	442	442
Cell_3033	Cell_3033	505	505
Cell_3034	Cell_3034	440	440
Cell_3035	Cell_3035	438	438
Cell_3036	Cell_3036	490	490
Cell_3037	Cell_3037	461	461
Cell_3038	Cell_3038	452	452
Cell_3039	Cell_3039	474	474
Cell_3040	Cell_3040	473	473
Cell_3041	Cell_3041	457	457
Cell_3042	Cell_3042	485	485
Cell_3043	Cell_3043	478	478
Cell_3044	Cell_3044	480	480
Cell_3045	Cell_3045	481	481
Cell_3046	Cell_3046	463	463
Cell_3047	Cell_3047	488	488
Cell_3048	Cell_3048	461	461
Cell_3049	Cell_3049	477	477
Cell_3050	Cell_3050	468	468
Cell_3051	Cell_3051	471	471
Cell_3052	Cell_3052	486	486
Cell_3053	Cell_3053	469	469
Cell_3054	Cell_3054	461	461
Cell_3055	Cell_3055	496	496
Cell_3056	Cell_3056	496	496
Cell_3057	Cell_3057	477	477
Cell_3058	Cell_3058	483	483
Cell_3059	Cell_3059	466	466
Cell_3060	Cell_3060	463	463
Cell_3061	Cell_3061	471	471
Cell_3062	Cell_3062	469	469
Cell_3063	Cell_3063	449	449
Cell_3064	Cell_3064	417	417
Cell_3065	Cell_3065	474	474
Cell_3066	Cell_3066	486	486
Cell_3067	Cell_3067	475	475
Cell_3068	Cell_3068	480	480
Cell_3069	Cell_3069	462	462
Cell_3070	Cell_3070	475	475
Cell_3071	Cell_3071	486	486
Cell_3072	Cell_3072	469	469
Cell_3073	Cell_3073	498	498
Cell_3074	Cell_3074	466	466
Cell_3075	Cell_3075	478	478
Cell_3076	Cell_3076	486	486
Cell_3077	Cell_3077	467	467
Cell_3078	Cell_3078	444	444
Cell_3079	Cell_3079	474	474
Cell_3080	Cell_3080	462	462
Cell_3081	Cell_3081	477	477
Cell_3082	Cell_3082	476	476
Cell_3083	Cell_3083	466	466
Cell_3084	Cell_3084	446	446
Cell_3085	Cell_3085	461	461
Cell_3086	Cell_3086	434	434
Cell_3087	Cell_3087	473	473
Cell_3088	Cell_3088	499	499
Cell_3089	Cell_3089	492	492
Cell_3090	Cell_3090	463	463
Cell_3091	Cell_3091	483	483
Cell_3092	Cell_3092	489	489
Cell_3093	Cell_3093	458	458
Cell_3094	Cell_3094	484	484
Cell_3095	Cell_3095	466	466
Cell_3096	Cell_3096	472	472
Cell_3097	Cell_3097	448	448
Cell_3098	Cell_3098	455	455
Cell_3099	Cell_3099	469	469
Cell_3100	Cell_3100	460	460
Cell_3101	Cell_3101	466	466
Cell_3102	Cell_3102	429	429
